country,age,sex,suicides_no
Georgia,15-24 years,male,13
Georgia,75+ years,female,3
Georgia,55-74 years,female,7
Georgia,25-34 years,female,4
Georgia,5-14 years,male,4
Georgia,15-24 years,female,4
Georgia,35-54 years,female,7
Georgia,5-14 years,female,3
Georgia,75+ years,male,5
Georgia,35-54 years,male,29
Georgia,55-74 years,male,15
Georgia,25-34 years,male,13
Georgia,25-34 years,female,7
Georgia,15-24 years,male,5
Georgia,75+ years,female,2
Georgia,55-74 years,female,4
Georgia,15-24 years,female,3
Georgia,5-14 years,male,2
Georgia,35-54 years,female,2
Georgia,5-14 years,female,0
Georgia,75+ years,male,4
Georgia,55-74 years,male,16
Georgia,25-34 years,male,13
Georgia,35-54 years,male,18
Georgia,15-24 years,male,7
Georgia,75+ years,female,2
Georgia,55-74 years,female,5
Georgia,25-34 years,female,3
Georgia,5-14 years,female,1
Georgia,5-14 years,male,1
Georgia,15-24 years,female,1
Georgia,35-54 years,female,1
Georgia,75+ years,male,10
Georgia,55-74 years,male,24
Georgia,35-54 years,male,29
Georgia,25-34 years,male,14
Georgia,75+ years,female,5
Georgia,15-24 years,male,7
Georgia,55-74 years,female,6
Georgia,35-54 years,female,7
Georgia,25-34 years,female,1
Georgia,15-24 years,female,1
Georgia,5-14 years,female,0
Georgia,5-14 years,male,0
Georgia,75+ years,male,18
Georgia,55-74 years,male,36
Georgia,35-54 years,male,48
Georgia,25-34 years,male,24
Georgia,75+ years,female,10
Georgia,15-24 years,male,20
Georgia,55-74 years,female,15
Georgia,15-24 years,female,4
Georgia,5-14 years,male,3
Georgia,35-54 years,female,7
Georgia,25-34 years,female,2
Georgia,5-14 years,female,1
Georgia,55-74 years,male,32
Georgia,75+ years,male,7
Georgia,35-54 years,male,29
Georgia,25-34 years,male,16
Georgia,15-24 years,male,11
Georgia,75+ years,female,5
Georgia,55-74 years,female,6
Georgia,35-54 years,female,5
Georgia,5-14 years,male,1
Georgia,15-24 years,female,0
Georgia,25-34 years,female,0
Georgia,5-14 years,female,0
Georgia,75+ years,male,16
Georgia,55-74 years,male,23
Georgia,35-54 years,male,25
Georgia,15-24 years,male,12
Georgia,25-34 years,male,8
Georgia,35-54 years,female,6
Georgia,55-74 years,female,4
Georgia,25-34 years,female,2
Georgia,75+ years,female,1
Georgia,5-14 years,female,1
Georgia,15-24 years,female,1
Georgia,5-14 years,male,0
Georgia,75+ years,male,12
Georgia,55-74 years,male,23
Georgia,25-34 years,male,19
Georgia,35-54 years,male,26
Georgia,15-24 years,male,11
Georgia,75+ years,female,2
Georgia,15-24 years,female,3
Georgia,55-74 years,female,3
Georgia,35-54 years,female,3
Georgia,5-14 years,female,1
Georgia,25-34 years,female,1
Georgia,5-14 years,male,0
Georgia,75+ years,male,25
Georgia,55-74 years,male,33
Georgia,35-54 years,male,41
Georgia,25-34 years,male,20
Georgia,15-24 years,male,13
Georgia,75+ years,female,4
Georgia,55-74 years,female,8
Georgia,35-54 years,female,7
Georgia,5-14 years,male,2
Georgia,15-24 years,female,2
Georgia,5-14 years,female,1
Georgia,25-34 years,female,1
Georgia,75+ years,male,22
Georgia,55-74 years,male,58
Georgia,35-54 years,male,53
Georgia,55-74 years,female,18
Georgia,15-24 years,male,12
Georgia,25-34 years,male,13
Georgia,75+ years,female,5
Georgia,15-24 years,female,5
Georgia,25-34 years,female,3
Georgia,35-54 years,female,5
Georgia,5-14 years,female,0
Georgia,5-14 years,male,0
Georgia,75+ years,male,27
Georgia,75+ years,female,20
Georgia,55-74 years,male,34
Georgia,35-54 years,male,46
Georgia,25-34 years,male,19
Georgia,15-24 years,male,17
Georgia,55-74 years,female,13
Georgia,25-34 years,female,5
Georgia,35-54 years,female,8
Georgia,15-24 years,female,2
Georgia,5-14 years,male,1
Georgia,5-14 years,female,0
